Indicator,Disaggregations,Number of disaggregations
#1-1-1,"OBS_STATUS, UNIT_MULT, AGE, URBANISATION, SEX",5
#1-a-2,"OBS_STATUS, UNIT_MULT",2
#2-2-4,"OBS_STATUS, UNIT_MULT, REF_AREA, URBANISATION",4
#3-1-1,"OBS_STATUS, UNIT_MULT, REF_AREA",3
#3-2-1,"OBS_STATUS, UNIT_MULT, REF_AREA, URBANISATION, SEX, EDUCATION_LEV",6
#3-2-2,"OBS_STATUS, UNIT_MULT, REF_AREA, URBANISATION, SEX",5
#3-3-1,"OBS_STATUS, UNIT_MULT",2
#3-a-1,"OBS_STATUS, UNIT_MULT, AGE, SEX",4
#3-b-1,"OBS_STATUS, UNIT_MULT, REF_AREA, AGE, URBANISATION",5
#8-9-2,"OBS_STATUS, UNIT_MULT",2
