Year,COMMENT_OBS,Reference area,Sex,Age,Degree of urbanisation,Time period details,Observation-level footnotes,Value
1977,"Accessed March 26, 2024. Based on data from NSS. Estimated from grouped consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",63.5
1983,"Accessed March 26, 2024. Based on data from NSS. Estimated from grouped consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",56.6
1987,"Accessed March 26, 2024. Based on data from NSS-SCH1. Estimated from grouped consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",50.9
1993,"Accessed March 26, 2024. Based on data from NSS-SCH1. Estimated from unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",48.0
2004,"Accessed March 26, 2024. Based on data from NSS-SCH1. Estimated from unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",40.6
2009,"Accessed March 26, 2024. Based on data from NSS-SCH1. Estimated from unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",33.5
2011,"Accessed March 26, 2024. Based on data from NSS-SCH1. Estimated from unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",22.9
2015,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",18.8
2016,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",18.1
2017,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",13.4
2018,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",11.1
2019,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",13.2
2020,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",15.5
2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",India,,,,2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",12.9
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,,Rural,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",53.49183
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,,Rural,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",45.31693
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,,Rural,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",37.96062
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,,Rural,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",26.31583
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,,Urban,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",31.16639
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,,Urban,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",26.60857
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,,Urban,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",21.30813
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,,Urban,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",14.21849
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,65 years old and over,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",42.34417
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,65 years old and over,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",33.0616
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,65 years old and over,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",26.44269
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,65 years old and over,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",18.92285
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,under 15 years old,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",55.7522
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,under 15 years old,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",50.01581
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,under 15 years old,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",42.13305
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,under 15 years old,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",29.7683
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,15 to 64 years old,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",43.62368
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,15 to 64 years old,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",35.96605
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",India,,15 to 64 years old,,2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",29.84715
