Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2017,Normal value,Units,Kisumu County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_KIS,City,Percent,2023,30.0
2018,Normal value,Units,Kisumu County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_KIS,City,Percent,2023,30.0
2019,Normal value,Units,Kisumu County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_KIS,City,Percent,2023,30.0
2020,Normal value,Units,Kisumu County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_KIS,City,Percent,2023,30.0
2021,Normal value,Units,Kisumu County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_KIS,City,Percent,2023,30.0
2022,Normal value,Units,Kisumu County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_KIS,City,Percent,2023,30.1
2023,Normal value,Units,Kisumu County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_KIS,City,Percent,2023,30.0
2017,Normal value,Units,Mombasa County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_MBA,City,Percent,2023,25.1
2018,Normal value,Units,Mombasa County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_MBA,City,Percent,2023,56.0
2019,Normal value,Units,Mombasa County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_MBA,City,Percent,2023,46.1
2020,Normal value,Units,Mombasa County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_MBA,City,Percent,2023,46.0
2021,Normal value,Units,Mombasa County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_MBA,City,Percent,2023,56.5
2022,Normal value,Units,Mombasa County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_MBA,City,Percent,2023,65.0
2023,Normal value,Units,Mombasa County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_MBA,City,Percent,2023,58.3
2014,Normal value,Units,Nairobi City County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NBO,City,Percent,2023,44.0
2016,Normal value,Units,Nairobi City County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NBO,City,Percent,2023,56.6
2017,Normal value,Units,Nairobi City County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NBO,City,Percent,2023,53.6
2018,Normal value,Units,Nairobi City County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NBO,City,Percent,2023,57.4
2019,Normal value,Units,Nairobi City County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NBO,City,Percent,2023,75.2
2020,Normal value,Units,Nairobi City County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NBO,City,Percent,2023,75.2
2021,Normal value,Units,Nairobi City County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NBO,City,Percent,2023,76.7
2022,Normal value,Units,Nairobi City County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NBO,City,Percent,2023,74.3
2023,Normal value,Units,Nairobi City County,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NBO,City,Percent,2023,86.0
2022,Normal value,Units,Nakuru Coutny,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NUU,City,Percent,2023,60.0
2023,Normal value,Units,Nakuru Coutny,"Municipal Solid Waste collection coverage, by cities (%) [11.6.1]",KE_NUU,City,Percent,2023,60.0
