Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2020,Normal value,Units,GOZ,Proportion of individuals using the Internet [17.8.1],,,,Percent,29.3
2023,Normal value,Units,GOZ,Proportion of individuals using the Internet [17.8.1],,,,Percent,22.0
2019,Normal value,Units,ZIMSTAT_MICS_Report_2019,Proportion of individuals using the Internet [17.8.1],,,Rural,Percent,19.9
2019,Normal value,Units,ZIMSTAT_MICS_Report_2019,Proportion of individuals using the Internet [17.8.1],,,Urban,Percent,50.1
2014,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],,Female,,Percent,16.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],,Female,,Percent,30.3
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],,Female,,Percent,34.2
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_BA,,,Percent,39.6
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_BA,,,Percent,60.3
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_BA,,,Percent,38.6
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_HA,,,Percent,46.4
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_HA,,,Percent,53.8
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_HA,,,Percent,54.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MA,,,Percent,32.6
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MA,,,Percent,17.8
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MA,,,Percent,27.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MC,,,Percent,16.1
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MC,,,Percent,15.6
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MC,,,Percent,16.8
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_ME,,,Percent,40.3
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_ME,,,Percent,21.7
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_ME,,,Percent,25.4
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MI,,,Percent,32.2
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MI,,,Percent,25.0
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MI,,,Percent,32.8
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MN,,,Percent,7.5
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MN,,,Percent,22.0
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MN,,,Percent,21.8
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MS,,,Percent,36.2
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MS,,,Percent,34.4
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MS,,,Percent,35.0
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MV,,,Percent,17.9
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MV,,,Percent,20.0
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MV,,,Percent,43.0
2019,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MW,,,Percent,21.2
2020,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MW,,,Percent,22.8
2022,Normal value,Units,ZIMSTAT_Population_and_Housing_Census_Report_2022,Proportion of individuals using the Internet [17.8.1],ZW_MW,,,Percent,31.8
