Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,UNIT_MEASURE,Value
2019,Normal value,Units,ZDHS,Maternal mortality ratio [3.1.1],,"Per 100,000 population",462
2022,Normal value,Units,ZDHS,Maternal mortality ratio [3.1.1],,"Per 100,000 population",362
2024,Normal value,Units,ZDHS,Maternal mortality ratio [3.1.1],,"Per 100,000 population",212
2022,Normal value,Units,Zimstat_2022_PHC,Maternal mortality ratio [3.1.1],ZW_BA,"Per 100,000 population",248
2022,Normal value,Units,Zimstat_2022_PHC,Maternal mortality ratio [3.1.1],ZW_HA,"Per 100,000 population",303
2022,Normal value,Units,Zimstat_2022_PHC,Maternal mortality ratio [3.1.1],ZW_MA,"Per 100,000 population",248
2022,Normal value,Units,Zimstat_2022_PHC,Maternal mortality ratio [3.1.1],ZW_MC,"Per 100,000 population",292
2022,Normal value,Units,Zimstat_2022_PHC,Maternal mortality ratio [3.1.1],ZW_ME,"Per 100,000 population",401
2022,Normal value,Units,Zimstat_2022_PHC,Maternal mortality ratio [3.1.1],ZW_MI,"Per 100,000 population",424
2022,Normal value,Units,Zimstat_2022_PHC,Maternal mortality ratio [3.1.1],ZW_MN,"Per 100,000 population",365
2022,Normal value,Units,Zimstat_2022_PHC,Maternal mortality ratio [3.1.1],ZW_MS,"Per 100,000 population",375
2022,Normal value,Units,Zimstat_2022_PHC,Maternal mortality ratio [3.1.1],ZW_MV,"Per 100,000 population",377
2022,Normal value,Units,Zimstat_2022_PHC,Maternal mortality ratio [3.1.1],ZW_MW,"Per 100,000 population",377
