Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,Education level,UNIT_MEASURE,Value
2019,Normal value,Units,ZDHS_2023_24,Under-five mortality rate [3.2.1],,,,,"Per 1,000 live births",65.0
2022,Normal value,Units,ZDHS_2023_24,Under-five mortality rate [3.2.1],,,,,"Per 1,000 live births",39.7
2024,Normal value,Units,ZDHS_2023_24,Under-five mortality rate [3.2.1],,,,,"Per 1,000 live births",69.0
2024,Normal value,Units,ZDHS_2023_24,Under-five mortality rate [3.2.1],,,Rural,,"Per 1,000 live births",71.0
2024,Normal value,Units,ZDHS_2023_24,Under-five mortality rate [3.2.1],,,Urban,,"Per 1,000 live births",66.0
2024,Normal value,Units,ZDHS_2023_24,Under-five mortality rate [3.2.1],,Female,,,"Per 1,000 live births",61.0
2024,Normal value,Units,ZDHS_2023_24,Under-five mortality rate [3.2.1],,Male,,,"Per 1,000 live births",77.0
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_BA,,,,"Per 1,000 live births",27.8
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_HA,,,,"Per 1,000 live births",32.5
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_MA,,,,"Per 1,000 live births",50.8
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_MC,,,,"Per 1,000 live births",41.6
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_MC,,,Pre-primary education,"Per 1,000 live births",41.6
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_ME,,,,"Per 1,000 live births",47.5
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_ME,,,Primary education,"Per 1,000 live births",47.5
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_MI,,,,"Per 1,000 live births",41.7
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_MN,,,,"Per 1,000 live births",30.2
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_MS,,,,"Per 1,000 live births",26.5
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_MV,,,,"Per 1,000 live births",41.5
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_MW,,,,"Per 1,000 live births",36.3
2022,Normal value,Units,Zimstat_2022_PHC,Under-five mortality rate [3.2.1],ZW_MW,,,Lower secondary education,"Per 1,000 live births",36.3
