Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2015,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,,Percent,86.0
2021,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,,Percent,87.5
2023,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,,Percent,84.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,,Percent,87.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,Rural,Percent,85.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],,Female,15 to 49 years old,Urban,Percent,89.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],ZW_BA,Female,15 to 49 years old,,Percent,82.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],ZW_HA,Female,15 to 49 years old,,Percent,90.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],ZW_MA,Female,15 to 49 years old,,Percent,81.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],ZW_MC,Female,15 to 49 years old,,Percent,89.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],ZW_ME,Female,15 to 49 years old,,Percent,90.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],ZW_MI,Female,15 to 49 years old,,Percent,87.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],ZW_MN,Female,15 to 49 years old,,Percent,89.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],ZW_MS,Female,15 to 49 years old,,Percent,87.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],ZW_MV,Female,15 to 49 years old,,Percent,84.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of women of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods [3.7.1],ZW_MW,Female,15 to 49 years old,,Percent,87.1
