Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,Value
2019,Normal value,Units,Zimstat_MICS_2019,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,,,Percent,91.0
2019,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,,Percent,91.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,,Percent,81.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,Rural,Percent,81.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],,12 to 23 months,Urban,Percent,82.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],ZW_BA,12 to 23 months,,Percent,86.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],ZW_HA,12 to 23 months,,Percent,84.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],ZW_MA,12 to 23 months,,Percent,73.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],ZW_MC,12 to 23 months,,Percent,80.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],ZW_ME,12 to 23 months,,Percent,81.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],ZW_MI,12 to 23 months,,Percent,89.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],ZW_MN,12 to 23 months,,Percent,88.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],ZW_MS,12 to 23 months,,Percent,86.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],ZW_MV,12 to 23 months,,Percent,87.6
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received 3 doses of diphtheria-tetanus-pertussis (DTP3) vaccine [3.b.1],ZW_MW,12 to 23 months,,Percent,74.2
2019,Normal value,Units,Zimstat_MICS_2019,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,,,Percent,68.4
2019,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,24 to 35 months,,Percent,68.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,24 to 35 months,,Percent,70.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,24 to 35 months,Rural,Percent,76.1
2024,Normal value,Units,ZDHS 2023-24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],,24 to 35 months,Urban,Percent,76.1
2024,Normal value,Units,ZDHS_2023_24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],ZW_BA,24 to 35 months,,Percent,81.1
2024,Normal value,Units,ZDHS 2023-24,Proportion of the target population who received measles-containing-vaccine second-dose (MCV2) [3.b.1],ZW_HA,24 to 35 months,,Percent,78.7
