Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2023,Normal value,Units,ZIMSTAT,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",,,15 to 24 years old,Percent,45.4
2024,Normal value,Units,ZIMSTAT,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",,,15 to 24 years old,Percent,27.9
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",,Female,15 to 24 years old,Percent,51.1
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",,Male,15 to 24 years old,Percent,39.8
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_BA,,15 to 24 years old,Percent,39.798601920029824
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_BA,Female,15 to 24 years old,Percent,42.36789642565211
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_BA,Male,15 to 24 years old,Percent,36.59796352101081
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_HA,,15 to 24 years old,Percent,37.68083539198772
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_HA,Female,,Percent,0.0
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_HA,Female,15 to 24 years old,Percent,42.20754433815757
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_HA,Male,15 to 24 years old,Percent,32.126076064404224
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MA,,15 to 24 years old,Percent,45.4659656632392
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MA,Female,15 to 24 years old,Percent,49.93627981408934
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MA,Male,15 to 24 years old,Percent,41.10512449129034
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MC,,15 to 24 years old,Percent,47.41867891637377
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MC,Female,15 to 24 years old,Percent,55.835960087233296
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MC,Male,15 to 24 years old,Percent,40.265448567655696
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_ME,,15 to 24 years old,Percent,43.76511990649829
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_ME,Female,15 to 24 years old,Percent,51.54889102087138
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_ME,Male,15 to 24 years old,Percent,36.41777059728848
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MI,,15 to 24 years old,Percent,46.79541641495194
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MI,Female,15 to 24 years old,Percent,51.42363981576533
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MI,Male,15 to 24 years old,Percent,42.27888636438474
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MN,,15 to 24 years old,Percent,57.92165070469112
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MN,Female,15 to 24 years old,Percent,63.98608221156582
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MN,Male,15 to 24 years old,Percent,53.089171078117616
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MS,,15 to 24 years old,Percent,52.13311120095665
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MS,Female,15 to 24 years old,Percent,59.487885725705205
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MS,Male,15 to 24 years old,Percent,43.33612590649674
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MV,,15 to 24 years old,Percent,44.83690054101584
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MV,Female,15 to 24 years old,Percent,51.49580059565197
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MV,Male,15 to 24 years old,Percent,38.49332781342717
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MW,,15 to 24 years old,Percent,49.479182367932
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MW,Female,15 to 24 years old,Percent,57.33022904133568
2023,Normal value,Units,Zimstat_QLFS,"Proportion of youth not in education, employment or training, by sex and age - 19th ICLS (%) [8.6.1]",ZW_MW,Male,15 to 24 years old,Percent,42.50605296944796
