Year,COMMENT_OBS,REF_AREA,SEX,AGE,URBANISATION,TIME_DETAIL,Value
1977,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,63.5
1983,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,56.6
1987,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,50.9
1993,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,48.0
2004,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,40.6
2009,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,33.5
2011,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,22.9
2015,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,18.8
2016,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,18.1
2017,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,13.4
2018,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,11.1
2019,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,13.2
2020,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,15.5
2021,"Accessed March 26, 2024. Based on data from CPHS. Estimated from imputed unit-record consumption data.",356,,,,2021,12.9
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,,R,2011,53.49183
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,,R,2011,45.31693
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,,R,2011,37.96062
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,,R,2011,26.31583
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,,U,2011,31.16639
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,,U,2011,26.60857
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,,U,2011,21.30813
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,,U,2011,14.21849
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y_GE65,,2011,42.34417
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y_GE65,,2011,33.0616
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y_GE65,,2011,26.44269
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y_GE65,,2011,18.92285
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y0T14,,2011,55.7522
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y0T14,,2011,50.01581
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y0T14,,2011,42.13305
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y0T14,,2011,29.7683
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y15T64,,2011,43.62368
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y15T64,,2011,35.96605
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y15T64,,2011,29.84715
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,,Y15T64,,2011,20.03811
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,F,,,2011,48.9206
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,F,,,2011,41.63223
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,F,,,2011,34.17276
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,F,,,2011,23.39969
1993,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,M,,,2011,47.05986
2004,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,M,,,2011,39.59019
2009,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,M,,,2011,32.78815
2011,"Accessed March 26, 2024. Survey name: NSS-SCH1. Uses a consumption aggregate, which is not spatially deflated.",356,M,,,2011,22.35531
1985,"Accessed March 26, 2024. Based on data from BMTHS. Estimated from unit-record consumption data.",72,,,,2015,41.8
1993,"Accessed March 26, 2024. Based on data from BMTHS. Estimated from unit-record consumption data.",72,,,,2015,34.1
2002,"Accessed March 26, 2024. Based on data from BMTHS. Estimated from unit-record consumption data.",72,,,,2015,29.1
