Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Value
2015,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,,Percent,8.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,,Percent,1.5
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,Rural,Percent,1.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,,Urban,Percent,1.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,Female,,Percent,1.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],,Male,,Percent,1.7
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],ZW_BA,,,Percent,2.3
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],ZW_HA,,,Percent,0.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],ZW_MA,,,Percent,0.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],ZW_MC,,,Percent,0.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],ZW_ME,,,Percent,1.4
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],ZW_MI,,,Percent,2.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],ZW_MN,,,Percent,2.8
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],ZW_MS,,,Percent,0.9
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],ZW_MV,,,Percent,3.0
2024,Normal value,Units,ZDHS_2023_24,Proportion of children moderately or severely wasted [2.2.2],ZW_MW,,,Percent,2.5
