Year,Observation status,Unit multiplier,Source details,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2014,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,,Percent,67.0
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,,Percent,60.9
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,Rural,Percent,57.7
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",,Female,15 to 49 years old,Urban,Percent,65.5
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",ZW_BA,Female,15 to 49 years old,,Percent,84.2
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",ZW_HA,Female,15 to 49 years old,,Percent,60.9
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",ZW_MA,Female,15 to 49 years old,,Percent,51.3
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",ZW_MC,Female,15 to 49 years old,,Percent,64.2
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",ZW_ME,Female,15 to 49 years old,,Percent,67.9
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",ZW_MI,Female,15 to 49 years old,,Percent,57.4
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",ZW_MN,Female,15 to 49 years old,,Percent,60.8
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",ZW_MS,Female,15 to 49 years old,,Percent,76.6
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",ZW_MV,Female,15 to 49 years old,,Percent,65.3
2024,Normal value,Units,ZDHS_2023_24,"Proportion of women who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women aged 15-49 years) [5.6.1]",ZW_MW,Female,15 to 49 years old,,Percent,51.9
