Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,TIME_DETAIL,Value
2017,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,30.0
2018,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,30.0
2019,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,30.0
2020,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,30.0
2021,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,30.0
2022,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,30.1
2023,A,0,Kisumu County,EN_REF_WASCOL,KE_KIS,CITY,PT,2023,30.0
2017,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,25.1
2018,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,56.0
2019,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,46.1
2020,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,46.0
2021,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,56.5
2022,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,65.0
2023,A,0,Mombasa County,EN_REF_WASCOL,KE_MBA,CITY,PT,2023,58.3
2014,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,44.0
2016,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,56.6
2017,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,53.6
2018,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,57.4
2019,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,75.2
2020,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,75.2
2021,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,76.7
2022,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,74.3
2023,A,0,Nairobi City County,EN_REF_WASCOL,KE_NBO,CITY,PT,2023,86.0
2022,A,0,Nakuru Coutny,EN_REF_WASCOL,KE_NUU,CITY,PT,2023,60.0
2023,A,0,Nakuru Coutny,EN_REF_WASCOL,KE_NUU,CITY,PT,2023,60.0
